Order Date,Average of Profit,forecastValue,confidenceHighBound,confidenceLowBound
2019-01-01 00:00:00,28.2668,,,
2019-01-02 00:00:00,52.7705,,,
2019-01-03 00:00:00,64.41433333333333,,,
2019-01-04 00:00:00,13.467333333333334,,,
2019-01-05 00:00:00,15.4856,,,
2019-01-07 00:00:00,2.713033333333333,,,
2019-01-08 00:00:00,89.82806000000001,,,
2019-01-09 00:00:00,88.166,,,
2019-01-10 00:00:00,18.455099999999998,,,
2019-01-11 00:00:00,6.27085,,,
2019-01-14 00:00:00,32.023,,,
2019-01-15 00:00:00,24.5153,,,
2019-01-16 00:00:00,7.99825,,,
2019-01-17 00:00:00,44.06705,,,
2019-01-21 00:00:00,35.1264,,,
2019-01-22 00:00:00,2.1391727272727272,,,
2019-01-23 00:00:00,118.5092,,,
2019-01-24 00:00:00,15.68,,,
2019-01-25 00:00:00,-10.975700000000002,,,
2019-01-28 00:00:00,10.3168,,,
2019-01-30 00:00:00,-28.42246,,,
2019-01-31 00:00:00,124.58996666666667,,,
2019-02-01 00:00:00,31.6081,,,
2019-02-02 00:00:00,550.7421999999999,,,
2019-02-03 00:00:00,225.264,,,
2019-02-04 00:00:00,10.398933333333334,,,
2019-02-05 00:00:00,48.08510666666667,,,
2019-02-06 00:00:00,-18.1808,,,
2019-02-07 00:00:00,18.555625,,,
2019-02-08 00:00:00,63.44865,,,
2019-02-09 00:00:00,25.3689,,,
2019-02-11 00:00:00,0.6993,,,
2019-02-12 00:00:00,91.499,,,
2019-02-13 00:00:00,73.41,,,
2019-02-14 00:00:00,6.07494,,,
2019-02-15 00:00:00,64.0301,,,
2019-02-16 00:00:00,-7.891866666666666,,,
2019-02-19 00:00:00,13.6925,,,
2019-02-20 00:00:00,5.5674,,,
2019-02-21 00:00:00,18.87859090909091,,,
2019-02-22 00:00:00,53.315225,,,
2019-02-23 00:00:00,21.591,,,
2019-02-25 00:00:00,17.52,,,
2019-02-27 00:00:00,23.694533333333336,,,
2019-02-28 00:00:00,13.2864,,,
2019-03-01 00:00:00,453.48501999999996,,,
2019-03-03 00:00:00,-25.582886666666663,,,
2019-03-04 00:00:00,32.561975,,,
2019-03-05 00:00:00,24.79715,,,
2019-03-06 00:00:00,-55.59364285714286,,,
2019-03-07 00:00:00,1.5804,,,
2019-03-08 00:00:00,16.656907692307694,,,
2019-03-09 00:00:00,42.41572,,,
2019-03-10 00:00:00,106.54747142857143,,,
2019-03-11 00:00:00,27.127633333333335,,,
2019-03-12 00:00:00,23.965328571428568,,,
2019-03-13 00:00:00,-27.16673,,,
2019-03-14 00:00:00,0.9577428571428571,,,
2019-03-15 00:00:00,8.76527142857143,,,
2019-03-17 00:00:00,101.24344285714287,,,
2019-03-18 00:00:00,-3.8805,,,
2019-03-19 00:00:00,-26.43155,,,
2019-03-20 00:00:00,23.313585714285715,,,
2019-03-21 00:00:00,-0.8321999999999999,,,
2019-03-22 00:00:00,17.0108,,,
2019-03-24 00:00:00,-51.0012,,,
2019-03-25 00:00:00,131.23575,,,
2019-03-26 00:00:00,4.10034,,,
2019-03-27 00:00:00,11.9418,,,
2019-03-28 00:00:00,3.8864666666666667,,,
2019-03-29 00:00:00,-0.9992111111111112,,,
2019-03-30 00:00:00,5.5566,,,
2019-03-31 00:00:00,-1.6569,,,
2019-04-01 00:00:00,28.574764705882355,,,
2019-04-02 00:00:00,378.274,,,
